"YEAR","STATE","RATE","URL"
"2017","IN","22.8","/nchs/pressroom/states/indiana/indiana.htm"
"2017","IA","16","/nchs/pressroom/states/iowa/iowa.htm"
"2017","KS","21.3","/nchs/pressroom/states/kansas/kansas.htm"
"2017","KY","29","/nchs/pressroom/states/kentucky/kentucky.htm"
"2017","LA","29.1","/nchs/pressroom/states/louisiana/louisiana.htm"
"2017","ME","13.1","/nchs/pressroom/states/maine/maine.htm"
"2017","MD","14.2","/nchs/pressroom/states/maryland/maryland.htm"
"2017","MA","8.1","/nchs/pressroom/states/massachusetts/massachusetts.htm"
"2017","MI","16.4","/nchs/pressroom/states/michigan/michigan.htm"
"2017","MN","12.1","/nchs/pressroom/states/minnesota/minnesota.htm"
"2017","MS","31","/nchs/pressroom/states/mississippi/mississippi.htm"
"2017","MO","22.5","/nchs/pressroom/states/missouri/missouri.htm"
"2017","MT","21.2","/nchs/pressroom/states/montana/montana.htm"
"2017","NE","18.1","/nchs/pressroom/states/nebraska/nebraska.htm"
"2017","NV","21.9","/nchs/pressroom/states/nevada/nevada.htm"
"2017","NH","8.4","/nchs/pressroom/states/newhampshire/newhampshire.htm"
"2017","NJ","10.3","/nchs/pressroom/states/newjersey/newjersey.htm"
"2017","NM","27.9","/nchs/pressroom/states/newmexico/newmexico.htm"
"2017","NY","12.5","/nchs/pressroom/states/newyork/newyork.htm"
"2017","NC","20.6","/nchs/pressroom/states/northcarolina/northcarolina.htm"
"2017","ND","16.2","/nchs/pressroom/states/northdakota/northdakota.htm"
"2017","OH","20.8","/nchs/pressroom/states/ohio/ohio.htm"
"2017","OK","29.7","/nchs/pressroom/states/oklahoma/oklahoma.htm"
"2017","OR","15","/nchs/pressroom/states/oregon/oregon.htm"
"2017","PA","14.8","/nchs/pressroom/states/pennsylvania/pennsylvania.htm"
"2017","RI","11.4","/nchs/pressroom/states/rhodeisland/rhodeisland.htm"
"2017","SC","21.7","/nchs/pressroom/states/southcarolina/southcarolina.htm"
"2017","SD","22.6","/nchs/pressroom/states/southdakota/southdakota.htm"
"2017","TN","26.6","/nchs/pressroom/states/tenessee/tennessee.htm"
"2017","TX","27.6","/nchs/pressroom/states/texas/texas.htm"
"2017","UT","15.2","/nchs/pressroom/states/utah/utah.htm"
"2017","VT","10.1","/nchs/pressroom/states/vermont/vermont.htm"
"2017","VA","15","/nchs/pressroom/states/virginia/virginia.htm"
"2017","WA","14.8","/nchs/pressroom/states/washington/washington.htm"
"2017","WV","27.1","/nchs/pressroom/states/westvirginia/westvirginia.htm"
"2017","WI","13.8","/nchs/pressroom/states/wisconsin/wisconsin.htm"
"2017","WY","24.6","/nchs/pressroom/states/wyoming/wyoming.htm"
"2016","AL","28.4","/nchs/pressroom/states/alabama/alabama.htm"
"2016","AK","25.8","/nchs/pressroom/states/alaska/alaska.htm"
"2016","AZ","23.6","/nchs/pressroom/states/arizona/arizona.htm"
"2016","AR","34.6","/nchs/pressroom/states/arkansas/arkansas.htm"
"2016","CA","17","/nchs/pressroom/states/california/california.htm"
"2016","CO","17.8","/nchs/pressroom/states/colorado/colorado.htm"
"2016","CT","9.4","/nchs/pressroom/states/connecticut/connecticut.htm"
"2016","DE","19.5","/nchs/pressroom/states/delaware/delaware.htm"
"2016","FL","19.3","/nchs/pressroom/states/florida/florida.htm"
"2016","GA","23.6","/nchs/pressroom/states/georgia/georgia.htm"
"2016","HI","19.2","/nchs/pressroom/states/hawaii/hawaii.htm"
"2016","ID","20.1","/nchs/pressroom/states/idaho/idaho.htm"
"2016","IL","18.7","/nchs/pressroom/states/illinois/illinois.htm"
"2016","IN","23.6","/nchs/pressroom/states/indiana/indiana.htm"
"2016","IA","17.2","/nchs/pressroom/states/iowa/iowa.htm"
"2016","KS","21.9","/nchs/pressroom/states/kansas/kansas.htm"
"2016","KY","30.9","/nchs/pressroom/states/kentucky/kentucky.htm"
"2016","LA","30.6","/nchs/pressroom/states/louisiana/louisiana.htm"
"2016","ME","14.7","/nchs/pressroom/states/maine/maine.htm"
"2016","MD","15.9","/nchs/pressroom/states/maryland/maryland.htm"
"2016","MA","8.5","/nchs/pressroom/states/massachusetts/massachusetts.htm"
"2016","MI","17.7","/nchs/pressroom/states/michigan/michigan.htm"
"2016","MN","12.6","/nchs/pressroom/states/minnesota/minnesota.htm"
"2016","MS","32.6","/nchs/pressroom/states/mississippi/mississippi.htm"
"2016","MO","23.4","/nchs/pressroom/states/missouri/missouri.htm"
"2016","MT","23.7","/nchs/pressroom/states/montana/montana.htm"
"2016","NE","19.1","/nchs/pressroom/states/nebraska/nebraska.htm"
"2016","NV","24.2","/nchs/pressroom/states/nevada/nevada.htm"
"2016","NH","9.3","/nchs/pressroom/states/newhampshire/newhampshire.htm"
"2016","NJ","11","/nchs/pressroom/states/newjersey/newjersey.htm"
"2016","NM","29.8","/nchs/pressroom/states/newmexico/newmexico.htm"
"2016","NY","13.2","/nchs/pressroom/states/newyork/newyork.htm"
"2016","NC","21.8","/nchs/pressroom/states/northcarolina/northcarolina.htm"
"2016","ND","20.3","/nchs/pressroom/states/northdakota/northdakota.htm"
"2016","OH","21.8","/nchs/pressroom/states/ohio/ohio.htm"
"2016","OK","33.4","/nchs/pressroom/states/oklahoma/oklahoma.htm"
"2016","OR","16.6","/nchs/pressroom/states/oregon/oregon.htm"
"2016","PA","15.8","/nchs/pressroom/states/pennsylvania/pennsylvania.htm"
"2016","RI","12.9","/nchs/pressroom/states/rhodeisland/rhodeisland.htm"
"2016","SC","23.7","/nchs/pressroom/states/southcarolina/southcarolina.htm"
"2016","SD","25.1","/nchs/pressroom/states/southdakota/southdakota.htm"
"2016","TN","28","/nchs/pressroom/states/tenessee/tennessee.htm"
"2016","TX","31","/nchs/pressroom/states/texas/texas.htm"
"2016","UT","15.6","/nchs/pressroom/states/utah/utah.htm"
"2016","VT","10.3","/nchs/pressroom/states/vermont/vermont.htm"
"2016","VA","15.5","/nchs/pressroom/states/virginia/virginia.htm"
"2016","WA","16.6","/nchs/pressroom/states/washington/washington.htm"
"2016","WV","29.3","/nchs/pressroom/states/westvirginia/westvirginia.htm"
"2016","WI","15","/nchs/pressroom/states/wisconsin/wisconsin.htm"
"2016","WY","26.1","/nchs/pressroom/states/wyoming/wyoming.htm"
"2015","AL","30.1","/nchs/pressroom/states/alabama/alabama.htm"
"2015","AK","29.3","/nchs/pressroom/states/alaska/alaska.htm"
"2015","AZ","26.3","/nchs/pressroom/states/arizona/arizona.htm"
"2015","AR","38","/nchs/pressroom/states/arkansas/arkansas.htm"
"2015","CA","19","/nchs/pressroom/states/california/california.htm"
"2015","CO","19.3","/nchs/pressroom/states/colorado/colorado.htm"
"2015","CT","10.1","/nchs/pressroom/states/connecticut/connecticut.htm"
"2015","DE","18.1","/nchs/pressroom/states/delaware/delaware.htm"
"2015","FL","20.8","/nchs/pressroom/states/florida/florida.htm"
"2015","GA","25.6","/nchs/pressroom/states/georgia/georgia.htm"
"2015","HI","20.6","/nchs/pressroom/states/hawaii/hawaii.htm"
"2015","ID","22.5","/nchs/pressroom/states/idaho/idaho.htm"
"2015","IL","21.1","/nchs/pressroom/states/illinois/illinois.htm"
"2015","IN","26","/nchs/pressroom/states/indiana/indiana.htm"
"2015","IA","18.6","/nchs/pressroom/states/iowa/iowa.htm"
"2015","KS","25.5","/nchs/pressroom/states/kansas/kansas.htm"
"2015","KY","32.4","/nchs/pressroom/states/kentucky/kentucky.htm"
"2015","LA","34.1","/nchs/pressroom/states/louisiana/louisiana.htm"
"2015","ME","15.4","/nchs/pressroom/states/maine/maine.htm"
"2015","MD","17","/nchs/pressroom/states/maryland/maryland.htm"
"2015","MA","9.4","/nchs/pressroom/states/massachusetts/massachusetts.htm"
"2015","MI","19.4","/nchs/pressroom/states/michigan/michigan.htm"
"2015","MN","13.7","/nchs/pressroom/states/minnesota/minnesota.htm"
"2015","MS","34.8","/nchs/pressroom/states/mississippi/mississippi.htm"
"2015","MO","25","/nchs/pressroom/states/missouri/missouri.htm"
"2015","MT","25.3","/nchs/pressroom/states/montana/montana.htm"
"2015","NE","22","/nchs/pressroom/states/nebraska/nebraska.htm"
"2015","NV","27.6","/nchs/pressroom/states/nevada/nevada.htm"
"2015","NH","10.9","/nchs/pressroom/states/newhampshire/newhampshire.htm"
"2015","NJ","12.1","/nchs/pressroom/states/newjersey/newjersey.htm"
"2015","NM","34.6","/nchs/pressroom/states/newmexico/newmexico.htm"
"2015","NY","14.6","/nchs/pressroom/states/newyork/newyork.htm"
"2015","NC","23.6","/nchs/pressroom/states/northcarolina/northcarolina.htm"
"2015","ND","22.2","/nchs/pressroom/states/northdakota/northdakota.htm"
"2015","OH","23.2","/nchs/pressroom/states/ohio/ohio.htm"
"2015","OK","34.8","/nchs/pressroom/states/oklahoma/oklahoma.htm"
"2015","OR","19","/nchs/pressroom/states/oregon/oregon.htm"
"2015","PA","17.7","/nchs/pressroom/states/pennsylvania/pennsylvania.htm"
"2015","RI","14.3","/nchs/pressroom/states/rhodeisland/rhodeisland.htm"
"2015","SC","26.2","/nchs/pressroom/states/southcarolina/southcarolina.htm"
"2015","SD","26.4","/nchs/pressroom/states/southdakota/southdakota.htm"
"2015","TN","30.5","/nchs/pressroom/states/tenessee/tennessee.htm"
"2015","TX","34.6","/nchs/pressroom/states/texas/texas.htm"
"2015","UT","17.6","/nchs/pressroom/states/utah/utah.htm"
"2015","VT","11.6","/nchs/pressroom/states/vermont/vermont.htm"
"2015","VA","17.1","/nchs/pressroom/states/virginia/virginia.htm"
"2015","WA","17.6","/nchs/pressroom/states/washington/washington.htm"
"2015","WV","31.9","/nchs/pressroom/states/westvirginia/westvirginia.htm"
"2015","WI","16.2","/nchs/pressroom/states/wisconsin/wisconsin.htm"
"2015","WY","29.2","/nchs/pressroom/states/wyoming/wyoming.htm"
"2014","AL","32","/nchs/pressroom/states/alabama/alabama.htm"
"2014","AK","27.8","/nchs/pressroom/states/alaska/alaska.htm"
"2014","AZ","29.9","/nchs/pressroom/states/arizona/arizona.htm"
"2014","AR","39.5","/nchs/pressroom/states/arkansas/arkansas.htm"
"2014","CA","21.1","/nchs/pressroom/states/california/california.htm"
"2014","CO","20.3","/nchs/pressroom/states/colorado/colorado.htm"
"2014","CT","11.5","/nchs/pressroom/states/connecticut/connecticut.htm"
"2014","DE","20.7","/nchs/pressroom/states/delaware/delaware.htm"
"2014","FL","22.5","/nchs/pressroom/states/florida/florida.htm"
"2014","GA","28.4","/nchs/pressroom/states/georgia/georgia.htm"
"2014","HI","23.1","/nchs/pressroom/states/hawaii/hawaii.htm"
"2014","ID","23.2","/nchs/pressroom/states/idaho/idaho.htm"
"2014","IL","22.8","/nchs/pressroom/states/illinois/illinois.htm"
"2014","IN","28","/nchs/pressroom/states/indiana/indiana.htm"
"2014","IA","19.8","/nchs/pressroom/states/iowa/iowa.htm"
"2014","KS","27.6","/nchs/pressroom/states/kansas/kansas.htm"
"2014","KY","35.3","/nchs/pressroom/states/kentucky/kentucky.htm"
"2014","LA","35.8","/nchs/pressroom/states/louisiana/louisiana.htm"
"2014","ME","16.5","/nchs/pressroom/states/maine/maine.htm"
"2014","MD","17.8","/nchs/pressroom/states/maryland/maryland.htm"
"2014","MA","10.6","/nchs/pressroom/states/massachusetts/massachusetts.htm"
"2014","MI","21.1","/nchs/pressroom/states/michigan/michigan.htm"
"2014","MN","15.5","/nchs/pressroom/states/minnesota/minnesota.htm"
"2014","MS","38","/nchs/pressroom/states/mississippi/mississippi.htm"
"2014","MO","27.2","/nchs/pressroom/states/missouri/missouri.htm"
"2014","MT","26.4","/nchs/pressroom/states/montana/montana.htm"
"2014","NE","22.2","/nchs/pressroom/states/nebraska/nebraska.htm"
"2014","NV","28.5","/nchs/pressroom/states/nevada/nevada.htm"
"2014","NH","11","/nchs/pressroom/states/newhampshire/newhampshire.htm"
"2014","NJ","13.1","/nchs/pressroom/states/newjersey/newjersey.htm"
"2014","NM","37.8","/nchs/pressroom/states/newmexico/newmexico.htm"
"2014","NY","16.1","/nchs/pressroom/states/newyork/newyork.htm"
"2014","NC","25.9","/nchs/pressroom/states/northcarolina/northcarolina.htm"
"2014","ND","23.9","/nchs/pressroom/states/northdakota/northdakota.htm"
"2014","OH","25.1","/nchs/pressroom/states/ohio/ohio.htm"
"2014","OK","38.5","/nchs/pressroom/states/oklahoma/oklahoma.htm"
"2014","OR","20","/nchs/pressroom/states/oregon/oregon.htm"
"2014","PA","19.3","/nchs/pressroom/states/pennsylvania/pennsylvania.htm"
"2014","RI","15.8","/nchs/pressroom/states/rhodeisland/rhodeisland.htm"
"2014","SC","28.5","/nchs/pressroom/states/southcarolina/southcarolina.htm"
"2014","SD","26.2","/nchs/pressroom/states/southdakota/southdakota.htm"
"2014","TN","33","/nchs/pressroom/states/tenessee/tennessee.htm"
"2014","TX","37.8","/nchs/pressroom/states/texas/texas.htm"
"2014","UT","19.4","/nchs/pressroom/states/utah/utah.htm"
"2014","VT","14.2","/nchs/pressroom/states/vermont/vermont.htm"
"2014","VA","18.4","/nchs/pressroom/states/virginia/virginia.htm"
"2014","WA","19.1","/nchs/pressroom/states/washington/washington.htm"
"2014","WV","36.6","/nchs/pressroom/states/westvirginia/westvirginia.htm"
"2014","WI","18","/nchs/pressroom/states/wisconsin/wisconsin.htm"
"2014","WY","30.1","/nchs/pressroom/states/wyoming/wyoming.htm"
"2005","AL","49.7","/nchs/pressroom/states/alabama/alabama.htm"
"2005","AK","37.3","/nchs/pressroom/states/alaska/alaska.htm"
"2005","AZ","58.2","/nchs/pressroom/states/arizona/arizona.htm"
"2005","AR","59.1","/nchs/pressroom/states/arkansas/arkansas.htm"
"2005","CA","38.8","/nchs/pressroom/states/california/california.htm"
"2005","CO","42.6","/nchs/pressroom/states/colorado/colorado.htm"
"2005","CT","23.3","/nchs/pressroom/states/connecticut/connecticut.htm"
"2005","DE","44","/nchs/pressroom/states/delaware/delaware.htm"
"2005","FL","42.4","/nchs/pressroom/states/florida/florida.htm"
"2005","GA","52.7","/nchs/pressroom/states/georgia/georgia.htm"
"2005","HI","36.2","/nchs/pressroom/states/hawaii/hawaii.htm"
"2005","ID","37.7","/nchs/pressroom/states/idaho/idaho.htm"
"2005","IL","38.6","/nchs/pressroom/states/illinois/illinois.htm"
"2005","IN","43.2","/nchs/pressroom/states/indiana/indiana.htm"
"2005","IA","32.6","/nchs/pressroom/states/iowa/iowa.htm"
"2005","KS","41.4","/nchs/pressroom/states/kansas/kansas.htm"
"2005","KY","49.1","/nchs/pressroom/states/kentucky/kentucky.htm"
"2005","LA","49.1","/nchs/pressroom/states/louisiana/louisiana.htm"
"2005","ME","24.4","/nchs/pressroom/states/maine/maine.htm"
"2005","MD","31.8","/nchs/pressroom/states/maryland/maryland.htm"
"2005","MA","21.8","/nchs/pressroom/states/massachusetts/massachusetts.htm"
"2005","MI","32.5","/nchs/pressroom/states/michigan/michigan.htm"
"2005","MN","26.1","/nchs/pressroom/states/minnesota/minnesota.htm"
"2005","MS","60.5","/nchs/pressroom/states/mississippi/mississippi.htm"
"2005","MO","42.5","/nchs/pressroom/states/missouri/missouri.htm"
"2005","MT","35.2","/nchs/pressroom/states/montana/montana.htm"
"2005","NE","34.2","/nchs/pressroom/states/nebraska/nebraska.htm"
"2005","NV","50.1","/nchs/pressroom/states/nevada/nevada.htm"
"2005","NH","17.9","/nchs/pressroom/states/newhampshire/newhampshire.htm"
"2005","NJ","23.4","/nchs/pressroom/states/newjersey/newjersey.htm"
"2005","NM","61.6","/nchs/pressroom/states/newmexico/newmexico.htm"
"2005","NY","26.5","/nchs/pressroom/states/newyork/newyork.htm"
"2005","NC","48.5","/nchs/pressroom/states/northcarolina/northcarolina.htm"
"2005","ND","29.7","/nchs/pressroom/states/northdakota/northdakota.htm"
"2005","OH","38.9","/nchs/pressroom/states/ohio/ohio.htm"
"2005","OK","54.2","/nchs/pressroom/states/oklahoma/oklahoma.htm"
"2005","OR","33","/nchs/pressroom/states/oregon/oregon.htm"
"2005","PA","30.4","/nchs/pressroom/states/pennsylvania/pennsylvania.htm"
"2005","RI","31.4","/nchs/pressroom/states/rhodeisland/rhodeisland.htm"
"2005","SC","51","/nchs/pressroom/states/southcarolina/southcarolina.htm"
"2005","SD","37.5","/nchs/pressroom/states/southdakota/southdakota.htm"
"2005","TN","54.9","/nchs/pressroom/states/tenessee/tennessee.htm"
"2005","TX","61.6","/nchs/pressroom/states/texas/texas.htm"
"2005","UT","33.4","/nchs/pressroom/states/utah/utah.htm"
"2005","VT","18.6","/nchs/pressroom/states/vermont/vermont.htm"
"2005","VA","34.4","/nchs/pressroom/states/virginia/virginia.htm"
"2005","WA","31.1","/nchs/pressroom/states/washington/washington.htm"
"2005","WV","43.4","/nchs/pressroom/states/westvirginia/westvirginia.htm"
"2005","WI","30.3","/nchs/pressroom/states/wisconsin/wisconsin.htm"
"2005","WY","43.2","/nchs/pressroom/states/wyoming/wyoming.htm"
"","","",""
